seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
1;STRUTHIONIFORMES;Struthionidae;Struthio camelus;Common Ostrich;estruç comú;非洲鸵鸟;鴕鳥;noj;pštros dvouprstý;Struds;Struisvogel;ordinara struto;strutsi;Autruche d’Afrique;Strauß;Struzzo;ダチョウ;strutis;slettestruts;struś czerwonoskóry;avestruz-comum;avestruz-comum;Африканский страус;Noj;pštros dvojprstý;Avestruz común;struts;Devekuşu;страус африканський;Volstruis;نعامة شائعة;;Обикновен щраус;jaanalind;Autruche d'Afrique;;יען;strucc;Strútur;;;Āfrikas strauss;;;Struhcca;;;noj;
2;STRUTHIONIFORMES;Struthionidae;Struthio molybdophanes;Somali Ostrich;estruç de Somàlia;灰颈鸵鸟;索馬利亞鴕鳥;somalijski noj;pštros somálský;Somalistruds;Somalische Struisvogel;somalia struto;somalianstrutsi;Autruche de Somalie;Somalistrauß;Struzzo somalo;ソマリダチョウ;;somalistruts;struś szaroskóry;avestruz-somali;avestruz-somali;Сомалийский страус;Somalijski noj;pštros sivonohý;Avestruz somalí;somaliastruts;Somali Devekuşu;страус сомалійський;;;;Сомалийски щраус;somaali jaanalind;Autruche de Somalie;;יען סומלי;szomáliai strucc;;;;;;;;;;;
3;RHEIFORMES;Rheidae;Rhea americana;Greater Rhea;nyandú comú;大美洲鸵;大美洲鴕;veliki nandu;nandu pampový;Nandu;Nandoe;granda reao;nandu;Nandou d’Amérique;Nandu;Nandù;レア;amerikinis nandu;stornandu;nandu szare;nandu-grande;nandu-comum;Нанду;Veliki nandu;nandu pampový;Ñandú común;större nandu;Büyük Rea;нанду великий;;;;Голямо нанду;nandu;Nandou d'Amérique;;;nandu;;;;;;;;;;;
4;RHEIFORMES;Rheidae;Rhea pennata;Lesser Rhea;nyandú de Darwin;小美洲鸵;小美洲鴕;mali nandu;nandu menší;Lille Nandu;Darwins Nandoe;eta reao;patagoniannandu;Nandou de Darwin;Darwinnandu;Nandù minore;ダーウィンレア;Darvino nandu;fjellnandu;nandu plamiste;nandu-pequeno;nandu-pequeno;Дарвинов нанду;Mali nandu;nandu škvrnitý;Ñandú petiso;mindre nandu;Benekli Rea;нанду малий;;;;Малко нанду;väikenandu;Nandou de Darwin;;;Darwin-nandu;;;;;;;;;;;
5;APTERYGIFORMES;Apterygidae;Apteryx australis;Southern Brown Kiwi;kiwi bru de l'illa Sud;褐几维;南方褐鷸鴕;mrki kivi;kivi jižní;Brun Kiwi;Zuidelijke Bruine Kiwi;sudinsula kivio;eteläsaarenruskokiivi;Kiwi austral;Südstreifenkiwi;Kiwi bruno meridionale;キーウィ;paprastasis kivis;sørbrunkivi;kiwi brunatny;quiuí-castanho-do-sul;kiwi-do-sul;Бурый киви;Južni smeđi kivi;kivi južný;Kiwi sureño;sydkivi;Boz Kivi;ківі бурий;;;;;pruunkiivi;Kiwi austral;;;barna kivi;;;;;;;;;;;
6;APTERYGIFORMES;Apterygidae;Apteryx mantelli;North Island Brown Kiwi;kiwi bru de l'illa Nord;北岛褐几维;北島褐鷸鴕;smeđi kivi;kivi hnědý;Nordø Dværgkiwi;Noordelijke Bruine Kiwi;nordinsula kivio;pohjoissaarenruskokiivi;Kiwi de Mantell;Nordstreifenkiwi;Kiwi bruno settentrionale;キタキーウィ;šiaurinis kivis;nordbrunkivi;kiwi północny;quiuí-castanho-do-norte;kiwi-do-norte;Северный киви;Severni pegavi kivi;kivi hnedý;Kiwi norteño;brunkivi;Kuzey Adası Boz Kivisi;ківі північний;;;;;triipkiivi;Kiwi de Mantell;;;északi-szigeti barna kivi;;;;;;;;;;;
7;APTERYGIFORMES;Apterygidae;Apteryx rowi;Okarito Kiwi;kiwi d'Okarito;白眶几维;奧卡里多褐鷸鴕;sivoglavi kivi;kivi okaritský;Okarito Kiwi;Rowi;okarita kivio;okaritonruskokiivi;Kiwi d’Okarito;Okaritokiwi;Kiwi bruno di Okarito;オカリトキーウィ;Okarito miško kivis;okaritokivi;kiwi szary;quiuí-castanho-de-okarito;kiwi-de-okarito;Окаритский киви;Okarito smeđi kivi;kivi hodvábny;Kiwi de Okarito;okaritokivi;Okarito Kivisi;ківі окаритський;;;;;okarito kiivi;Kiwi d'Okarito;;;okaritói barna kivi;;;;;;;;;;;
8;APTERYGIFORMES;Apterygidae;Apteryx owenii;Little Spotted Kiwi;kiwi tacat petit;小斑几维;小斑鷸鴕;mali kivi;kivi malý;Dværgkiwi;Kleine Grijze Kiwi;eta kivio;pikkukiivi;Kiwi d’Owen;Zwergkiwi;Kiwi macchiato minore;コマダラキーウィ;mažasis kivis;dvergkivi;kiwi mały;quiuí-malhado-pequeno;kiwi-malhado-pequeno;Малый киви;Mali pegavi kivi;kivi pásikavý;Kiwi moteado menor;mindre fläckkivi;Benekli Küçük Kivi;ківі малий;;;;;väikekiivi;Kiwi d'Owen;;;kis foltos kivi;;;;;;;;;;;
9;APTERYGIFORMES;Apterygidae;Apteryx maxima;Great Spotted Kiwi;kiwi tacat gros;大斑几维;大斑鷸鴕;pjegavi kivi;kivi horský;Stor Kiwi;Grote Grijze Kiwi;makula kivio;kirjokiivi;Kiwi roa;Haastkiwi;Kiwi macchiato maggiore;オオマダラキーウィ;didysis kivis;flekkivi;kiwi plamisty;quiuí-malhado-grande;kiwi-malhado-grande;Пятнистый киви;Veliki pegavi kivi;kivi kráľovský;Kiwi moteado mayor;större fläckkivi;Benekli Büyük Kivi;ківі сірий;;;;;täpikkiivi;Kiwi roa;;;nagy foltos kivi;;;;;;;;;;;
10;CASUARIIFORMES;Casuariidae;Casuarius casuarius;Southern Cassowary;casuari comú;双垂鹤鸵;雙垂鶴鴕;veliki kazuar;kasuár přílbový;Hjelmkasuar;Helmkasuaris;suda kazuaro;kypäräkasuaari;Casoar à casque;Helmkasuar;Casuario meridionale;ヒクイドリ;šalminis kazuaras;toflikkasuar;kazuar hełmiasty;casuar-de-capacete;casuar-do-sul;Шлемоносный казуар;Južni kazuar;kazuár veľkoprilbý;Casuario común;hjälmkasuar;Güneyli Kasuari;казуар шоломний;;;;;kiiverkaasuar;Casoar à casque;;;sisakos kazuár;;Kasuari gelambir-ganda;;;;;;;;;
11;CASUARIIFORMES;Casuariidae;Casuarius bennetti;Dwarf Cassowary;casuari de Bennett;侏鹤鸵;侏鶴鴕;mali kazuar;kasuár menší;Dværgkasuar;Dwergkasuaris;nana kazuaro;pikkukasuaari;Casoar de Bennett;Bennettkasuar;Casuario nano;コヒクイドリ;nykštukinis kazuaras;dvergkasuar;kazuar mniejszy;casuar-anão;casuar-anão;Казуар-мурук;Patuljasti kazuar;kazuár muruk;Casuario menor;dvärgkasuar;Küçük Kasuari;казуар малий;;;;;väikekaasuar;Casoar de Bennett;;;Bennett-kazuár;;Kasuari kerdil;;;;;;;;;
12;CASUARIIFORMES;Casuariidae;Casuarius unappendiculatus;Northern Cassowary;casuari unicarunculat;单垂鹤鸵;單垂鶴鴕;šarenovrati kazuar;kasuár jednolaločný;Nordlig Kasuar;Oranjehalskasuaris;norda kazuaro;isokasuaari;Casoar unicaronculé;Einlappenkasuar;Casuario settentrionale;パプアヒクイドリ;raudonkaklis kazuaras;enflikkasuar;kazuar jednokoralowy;casuar-unicarunculado;casuar-do-norte;Оранжевошейный казуар;Severni kazuar;kazuár džungľový;Casuario unicarunculado;enflikig kasuar;Kuzeyli Kasuari;казуар жовтошиїй;;;;;kaeluskaasuar;Casoar unicaronculé;;;északi kazuár;;Kasuari gelambir-tunggal;;;;;;;;;
13;CASUARIIFORMES;Casuariidae;Dromaius novaehollandiae;Emu;emú comú;鸸鹋;鴯鶓;emu;emu hnědý;Emu;Emoe;ordinara emuo;emu;Émeu d’Australie;Emu;Emù;エミュー;emu;emu;emu (zwyczajne);ema-australiana;emu;Эму;Emu;emu hnedý;Emú;emu;Emu;ему австралійський;;;;Ему;emu;Émeu d'Australie;;אמו;emu;;;;;;;;;;;
14;TINAMIFORMES;Tinamidae;Tinamus tao;Grey Tinamou;tinamú gris;灰䳍;灰(共鳥);sivi tinamu;tinama tao;Grå Tinamu;Grijze Tinamoe;griza tinamo;harmaatinami;Tinamou tao;Taotinamu;Tinamo grigio;ハイイロシギダチョウ;žilasis tinamas;taotinamu;kusacz szary;azulona;tinamu-cinzento;Тао;Sivi tinamu;tinama sivá;Tinamú tao;grå tinamo;Gri Tinamu;тао;;;;;halltinamu;Tinamou tao;;;szürke tinamu;;;;;;;;;;;
15;TINAMIFORMES;Tinamidae;Tinamus solitarius;Solitary Tinamou;tinamú solitari;孤䳍;孤(共鳥);paragvajski tinamu;tinama samotářská;Olivengrå Tinamu;Kluizenaarstinamoe;soleca tinamo;erakkotinami;Tinamou solitaire;Zimttinamu;Tinamo solitario;オバシギダチョウ;tinamas atsiskyrėlis;eremittinamu;kusacz samotny;macuco-solitário;tinamu-solitário;Тинаму-отшельник;Skriveni tinamu;tinama samotárska;Tinamú macuco;solitärtinamo;Yalnız Tinamu;тинаму-самітник;;;;;eraktinamu;Tinamou solitaire;;;remetetinamu;;;;;;;;;;;
16;TINAMIFORMES;Tinamidae;Tinamus osgoodi;Black Tinamou;tinamú negre;黑䳍;黑(共鳥);crni tinamu;tinama černá;Gråsort Tinamu;Zwarte Tinamoe;nigra tinamo;mustatinami;Tinamou noir;Schwarztinamu;Tinamo nero;クロシギダチョウ;juodasis tinamas;svarttinamu;kusacz czarny;macuco-preto;tinamu-preto;Чёрный тинаму;Crni tinamu;tinama čierna;Tinamú negro;svart tinamo;Kara Tinamu;тинаму чорний;;;;;musttinamu;Tinamou noir;;;fekete tinamu;;;;;;;;;;;
17;TINAMIFORMES;Tinamidae;Tinamus major;Great Tinamou;tinamú olivaci;大䳍;大(共鳥);maslinasti tinamu;tinama větší;Stor Tinamu;Grote Tinamoe;granda tinamo;isotinami;Grand Tinamou;Großtinamu;Tinamo grosso;オオシギダチョウ;didysis tinamas;stortinamu;kusacz duży;inhambu-serra;tinamu-grande;Большой тинаму;Veliki tinamu;tinama veľká;Tinamú oliváceo;större tinamo;Büyük Tinamu;тинаму великий;;;;;suurtinamu;Grand Tinamou;;;nagy tinamu;;;;;;;;;;;
18;TINAMIFORMES;Tinamidae;Tinamus guttatus;White-throated Tinamou;tinamú pigallat;白喉䳍;白喉(共鳥);pjegavi tinamu;tinama tečkovaná;Gråisset Tinamu;Witkeeltinamoe;blankagorĝa tinamo;helmitinami;Tinamou à gorge blanche;Weißkehltinamu;Tinamo golabianca;ノドジロシギダチョウ;baltagurklis tinamas;perletinamu;kusacz kropkowany;inhambu-galinha;tinamu-pintalgado;Белогорлый тинаму;Belogrli tinamu;tinama bielohrdlá;Tinamú moteado;vitstrupig tinamo;Benekli Tinamu;тинаму білогорлий;;;;;helmestinamu;Tinamou à gorge blanche;;;fehértorkú tinamu;;;;;;;;;;;
19;TINAMIFORMES;Tinamidae;Nothocercus bonapartei;Highland Tinamou;tinamú de Bonaparte;黑头林䳍;高原林(共鳥);bonaparteov tinamu;tinama horská;Bjergskovstinamu;Bergtinamoe;monta tinamo;vuoritinami;Tinamou de Bonaparte;Bergtinamu;Tinamo delle alture;タカネシギダチョウ;Bonaparto notocerkas;bambustinamu;kusacz górski;inhambu-serrano;tinamu-serrano;Горный трёхпалый тинаму;Planinski tinamu;tinama horská;Tinamú serrano;höglandstinamo;Bonaparte Tinamusu;тинаму бурий;;;;;bambusetinamu;Tinamou de Bonaparte;;;Bonaparte-tinamu;;;;;;;;;;;
20;TINAMIFORMES;Tinamidae;Nothocercus julius;Tawny-breasted Tinamou;tinamú cap-roig;红头林䳍;茶胸林(共鳥);bjelogrli tinamu;tinama bronzovoprsá;Rødhovedet Tinamu;Roodkoptinamoe;rufbrusta tinamo;keltarintatinami;Tinamou à tête rousse;Gelbbrusttinamu;Tinamo pettofulvo;チャバラシギダチョウ;Juliaus notocerkas;brunbrysttinamu;kusacz rdzawogłowy;inhambu-de-peito-pardo;tinamu-de-peito-ruivo;Желтогрудый трёхпалый тинаму;Žutogrudi tinamu;tinama pralesná;Tinamú cabecirrojo;brunbröstad tinamo;Kızılca Tinamu;тинаму жовтогрудий;;;;;välutinamu;Tinamou à tête rousse;;;;;;;;;;;;;;
21;TINAMIFORMES;Tinamidae;Nothocercus nigrocapillus;Hooded Tinamou;tinamú encaputxat;灰头白喉林䳍;冠林(共鳥);crnoglavi tinamu;tinama tmavohlavá;Hættetinamu;Zwartkaptinamoe;kapuĉa tinamo;hupputinami;Tinamou à capuchon;Kapuzentinamu;Tinamo monaco;コモンシギダチョウ;tamsiagalvis notocerkas;blyhettetinamu;kusacz ciemnogłowy;inhambu-de-capuz;tinamu-de-capuz;Капюшоновый трёхпалый тинаму;Sivoglavi tinamu;tinama kapucňová;Tinamú cabecinegro;kamtinamo;Takkeli Tinamu;тинаму чорноголовий;;;;;karbustinamu;Tinamou à capuchon;;;;;;;;;;;;;;
22;TINAMIFORMES;Tinamidae;Crypturellus berlepschi;Berlepsch's Tinamou;tinamú de Berlepsch;伯氏穴䳍;巴勒氏穴(共鳥);ekvadorski tinamu;tinama Berlepschova;Sort Tinamu;Berlepsch' Tinamoe;berlepŝa tinamo;nokitinami;Tinamou de Berlepsch;Berlepschtinamu;Tinamo di Berlepsch;ススグロシギダチョウ;Berlepšo tinamas;sottinamu;kusacz brunatny;inhambu-tição;tinamu-escuro;Колумбийский скрытохвост;Berlepšov tinamu;tinama sadzová;Tinamú tizón;sottinamo;Küçük Kara Tinamu;татаупа чорний;;;;;nõgi-metstinamu;Tinamou de Berlepsch;;;Berlepsch-tinamu;;;;;;;;;;;
